word: hw, hc; year

marginally: 0.871505, 0.128495; 1584
marginalist: 0.584701, 0.415299; 1918

resisted: 0.855560, 0.144440; 1507
resister: 0.851505, 0.148495; 1753
resistive: 0.742124, 0.257875; 1858
radioresistant: 0.140082, 0.859918; 1919

Magnificat: 0.734351, 0.265649; 1685
magnifications: 0.554878, 0.445122; 1842

situation: 0.750988, 0.249012; 1505
Situationist: 0.077825, 0.922175; 1962

compact: 0.849520, 0.150480; 1520
compactification: 0.364037, 0.635963; 1942

compare: 0.875589, 0.124411; 1524
Comparison: 0.612450, 0.387550; 1659
comparatives: 0.140384, 0.859616; 1810

human: 0.873737, 0.126263; 1505
transhumanism: 0.499337, 0.500663; 1955

locking: 0.766639, 0.233361; 1600
unlockable: 0.105561, 0.894439; 1854

