word: hw, hc; year

把握: 0.685299, 0.314701; 1591
投机倒把: 0.875172, 0.124828; 1949
把头: 0.849862, 0.150138; 1961
拖把: 0.861653, 0.138347; 1985

附近: 0.674287, 0.325713; 1648
左近: 0.881442, 0.118558; 1956
近亲: 0.746626, 0.253374; 1957
凑近: 0.802483, 0.197517; 1959

依次: 0.678988, 0.321012; 1747
次大陆: 0.851958, 0.148042; 1949
次生林: 0.873056, 0.126944; 1981

组成: 0.669771, 0.330229; 1568
组阁: 0.793639, 0.206361; 1900
机组: 0.760919, 0.239081; 1900
剧组: 0.761169, 0.238831; 1955
课题组: 0.918295, 0.081705; 1988

那里: 0.698694, 0.301306; 1648
辛辛那提: 0.918633, 0.081367; 1956
亚利桑那: 0.907085, 0.092915; 1983

其他: 0.646671, 0.353329; 1648
维他命: 0.875626, 0.124374; 1950
排他性: 0.845275, 0.154725; 1872

覆盖: 0.688801, 0.311199; 1747
翻盖: 0.833787, 0.166213; 1959
盖帽: 0.906955, 0.093045; 1972

命令: 0.693155, 0.306845; 1648
夏令营: 0.867462, 0.132538; 1984

